pubmed articles,sample_id
15375644,"['lp_0050', 'lp_0725', 'lp_1153', 'lp_1424', 'lp_1425', 'lp_2256', 'lp_2376', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
17071785,"['lp_0050', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
16109953,"['lp_0050', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
23776675,"['lp_0050', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2714', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_0373']"
22203558,"['lp_0172', 'lp_0173', 'lp_1424', 'lp_1425', 'lp_2376', 'lp_2486', 'lp_2631', 'lp_2714', 'lp_2942', 'lp_2956', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
22326142,"['lp_0172', 'lp_0173', 'lp_0725', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_0373']"
19074391,"['lp_0172', 'lp_0173', 'lp_0600', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2376', 'lp_2714', 'lp_2991', 'lp_3014', 'lp_0796', 'lp_2943', 'lp_3050', 'lp_0373']"
26678992,"['lp_0725', 'lp_0775', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2714', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
22704047,"['lp_0775', 'lp_0789', 'lp_1424', 'lp_1425', 'lp_2486', 'lp_2991', 'lp_3014', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
19111640,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0600', 'lp_1002', 'lp_2578', 'lp_2714', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
18510336,"['lp_0050', 'lp_0789', 'lp_1002', 'lp_1424', 'lp_1425', 'lp_1760', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
29776925,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_1002', 'lp_1424', 'lp_1425', 'lp_1760', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
23109816,"['lp_0172', 'lp_0173', 'lp_0725', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2942', 'lp_2956', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
24231110,"['lp_0172', 'lp_0173', 'lp_0775', 'lp_0789', 'lp_1424', 'lp_1425', 'lp_2578', 'lp_2942', 'lp_2956', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
20447709,"['lp_0789', 'lp_1424', 'lp_1425', 'lp_2578', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
16553727,"['lp_0050', 'lp_0600', 'lp_0775', 'lp_2376', 'lp_2714', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
23054632,"['lp_0050', 'lp_1002', 'lp_1760', 'lp_2578', 'lp_2631', 'lp_2714', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
20002138,"['lp_0050', 'lp_0789', 'lp_1424', 'lp_1425', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
26438232,"['lp_0050', 'lp_0600', 'lp_0789', 'lp_1002', 'lp_1760', 'lp_2631', 'lp_2714', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2945', 'lp_0373']"
26459565,"['lp_0172', 'lp_0173', 'lp_1424', 'lp_1425', 'lp_2486', 'lp_2942', 'lp_2956', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_0373']"
18757797,"['lp_0172', 'lp_0173', 'lp_0600', 'lp_1424', 'lp_1425', 'lp_2376', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_0373']"
26955710,"['lp_0600', 'lp_0775', 'lp_0789', 'lp_2486', 'lp_2714', 'lp_2991', 'lp_3014', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_2945', 'lp_3050', 'lp_0373']"
