pubmed articles,sample_id
23054632,"['lp_0050', 'lp_0271', 'lp_0272', 'lp_0373']"
18510336,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272']"
18416556,"['lp_0050', 'lp_0271', 'lp_0272', 'lp_0373']"
24861375,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272']"
19672048,"['lp_0050', 'lp_0600', 'lp_0789', 'lp_0373']"
24332262,"['lp_0050', 'lp_0775', 'lp_0271', 'lp_0272']"
19744343,"['lp_0050', 'lp_0600', 'lp_0789', 'lp_0373']"
19346347,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272']"
22156394,"['lp_0050', 'lp_0725', 'lp_0789', 'lp_0373']"
21796993,"['lp_0050', 'lp_0775', 'lp_0789', 'lp_0373']"
17657538,"['lp_0050', 'lp_0271', 'lp_0272', 'lp_0373']"
17261521,"['lp_0050', 'lp_0271', 'lp_0272', 'lp_0373']"
28040493,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272']"
22203558,"['lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
22585750,"['lp_0172', 'lp_0173', 'lp_0725', 'lp_0373']"
27815279,"['lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
15066807,"['lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
23220639,"['lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
11073918,"['lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
23413922,"['lp_0600', 'lp_0775', 'lp_0789', 'lp_0373']"
18563659,"['lp_0600', 'lp_0271', 'lp_0272', 'lp_0373']"
19229842,"['lp_0600', 'lp_0271', 'lp_0272', 'lp_0373']"
14320486,"['lp_0600', 'lp_0271', 'lp_0272', 'lp_0373']"
27716231,"['lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
25175550,"['lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
20447709,"['lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
23734819,"['lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
29573169,"['lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
18653299,"['lp_0050', 'lp_0271', 'lp_0272']"
15752331,"['lp_0050', 'lp_0172', 'lp_0173']"
19217549,"['lp_0050', 'lp_0600', 'lp_0373']"
19446023,"['lp_0050', 'lp_0600', 'lp_0373']"
17850309,"['lp_0050', 'lp_0600', 'lp_0373']"
18819721,"['lp_0050', 'lp_0600', 'lp_0373']"
19423635,"['lp_0050', 'lp_0600', 'lp_0373']"
17559397,"['lp_0050', 'lp_0600', 'lp_0373']"
18193201,"['lp_0050', 'lp_0725', 'lp_0789']"
19372160,"['lp_0050', 'lp_0600', 'lp_0373']"
24610854,"['lp_0050', 'lp_0271', 'lp_0272']"
25173466,"['lp_0050', 'lp_0271', 'lp_0272']"
20505752,"['lp_0050', 'lp_0775', 'lp_0373']"
28833935,"['lp_0050', 'lp_0271', 'lp_0272']"
24238744,"['lp_0050', 'lp_0271', 'lp_0272']"
25415663,"['lp_0050', 'lp_0271', 'lp_0272']"
21638779,"['lp_0050', 'lp_0271', 'lp_0272']"
22016573,"['lp_0050', 'lp_0775', 'lp_0789']"
29037836,"['lp_0050', 'lp_0271', 'lp_0272']"
23414698,"['lp_0050', 'lp_0775', 'lp_0373']"
21104198,"['lp_0050', 'lp_0600', 'lp_0373']"
28935539,"['lp_0050', 'lp_0271', 'lp_0272']"
13948358,"['lp_0050', 'lp_0725', 'lp_0789']"
27114550,"['lp_0050', 'lp_0271', 'lp_0272']"
21375718,"['lp_0172', 'lp_0173', 'lp_0725']"
24054819,"['lp_0172', 'lp_0173', 'lp_0373']"
26966093,"['lp_0172', 'lp_0173', 'lp_0373']"
18298538,"['lp_0600', 'lp_0789', 'lp_0373']"
24614815,"['lp_0600', 'lp_0789', 'lp_0373']"
15823960,"['lp_0600', 'lp_0789', 'lp_0373']"
17311639,"['lp_0600', 'lp_0789', 'lp_0373']"
17953553,"['lp_0600', 'lp_0775', 'lp_0373']"
18081777,"['lp_0600', 'lp_0775', 'lp_0373']"
19604592,"['lp_0600', 'lp_0725', 'lp_0373']"
19386375,"['lp_0600', 'lp_0775', 'lp_0373']"
18620772,"['lp_0600', 'lp_0789', 'lp_0373']"
25410118,"['lp_0600', 'lp_0789', 'lp_0373']"
19465075,"['lp_0600', 'lp_0725', 'lp_0373']"
14771938,"['lp_0600', 'lp_0789', 'lp_0373']"
21907133,"['lp_0600', 'lp_0789', 'lp_0373']"
22802934,"['lp_0775', 'lp_0271', 'lp_0272']"
27231133,"['lp_0775', 'lp_0789', 'lp_0373']"
26413069,"['lp_0775', 'lp_0789', 'lp_0373']"
23175652,"['lp_0775', 'lp_0789', 'lp_0373']"
19942662,"['lp_0775', 'lp_0789', 'lp_0373']"
16339934,"['lp_0775', 'lp_0271', 'lp_0272']"
29757072,"['lp_0775', 'lp_0271', 'lp_0272']"
22492454,"['lp_0775', 'lp_0789', 'lp_0373']"
15817790,"['lp_0271', 'lp_0272', 'lp_0373']"
22621808,"['lp_0271', 'lp_0272', 'lp_0373']"
18946701,"['lp_0271', 'lp_0272', 'lp_0373']"
27375240,"['lp_0271', 'lp_0272', 'lp_0373']"
19620673,"['lp_0271', 'lp_0272', 'lp_0373']"
27422487,"['lp_0271', 'lp_0272', 'lp_0373']"
9143125,"['lp_0271', 'lp_0272', 'lp_0373']"
17401200,"['lp_0271', 'lp_0272', 'lp_0373']"
25757029,"['lp_0271', 'lp_0272', 'lp_0373']"
25186982,"['lp_0271', 'lp_0272', 'lp_0373']"
23183932,"['lp_0271', 'lp_0272', 'lp_0373']"
28780598,"['lp_0271', 'lp_0272', 'lp_0373']"
20618863,"['lp_0050', 'lp_0373']"
21840797,"['lp_0050', 'lp_0373']"
24375235,"['lp_0050', 'lp_0775']"
24127688,"['lp_0050', 'lp_0789']"
21848906,"['lp_0050', 'lp_0373']"
20363783,"['lp_0050', 'lp_0373']"
19346351,"['lp_0050', 'lp_0789']"
26295945,"['lp_0050', 'lp_0373']"
27295039,"['lp_0050', 'lp_0789']"
12566566,"['lp_0050', 'lp_0373']"
21375715,"['lp_0050', 'lp_0725']"
17041052,"['lp_0172', 'lp_0173']"
11425700,"['lp_0172', 'lp_0173']"
9286992,"['lp_0172', 'lp_0173']"
10618236,"['lp_0172', 'lp_0173']"
15292123,"['lp_0172', 'lp_0173']"
10094627,"['lp_0172', 'lp_0173']"
15743958,"['lp_0172', 'lp_0173']"
17322317,"['lp_0172', 'lp_0173']"
11133951,"['lp_0172', 'lp_0173']"
9352913,"['lp_0172', 'lp_0173']"
8878037,"['lp_0172', 'lp_0173']"
11929549,"['lp_0172', 'lp_0173']"
17129387,"['lp_0172', 'lp_0173']"
18416820,"['lp_0172', 'lp_0173']"
15345406,"['lp_0172', 'lp_0173']"
17012588,"['lp_0172', 'lp_0173']"
16452408,"['lp_0172', 'lp_0173']"
11934508,"['lp_0172', 'lp_0173']"
17496092,"['lp_0172', 'lp_0173']"
9457849,"['lp_0172', 'lp_0173']"
15175288,"['lp_0172', 'lp_0173']"
21645132,"['lp_0172', 'lp_0173']"
19519894,"['lp_0172', 'lp_0173']"
16788187,"['lp_0172', 'lp_0173']"
7592486,"['lp_0172', 'lp_0173']"
9044287,"['lp_0172', 'lp_0173']"
21989394,"['lp_0172', 'lp_0173']"
17183215,"['lp_0172', 'lp_0173']"
15277745,"['lp_0172', 'lp_0173']"
15916606,"['lp_0172', 'lp_0173']"
17183218,"['lp_0172', 'lp_0173']"
11029416,"['lp_0172', 'lp_0173']"
10613875,"['lp_0172', 'lp_0173']"
9335287,"['lp_0172', 'lp_0173']"
18371204,"['lp_0172', 'lp_0173']"
26712933,"['lp_0172', 'lp_0173']"
9829942,"['lp_0172', 'lp_0173']"
11489864,"['lp_0172', 'lp_0173']"
12296976,"['lp_0172', 'lp_0173']"
15342575,"['lp_0172', 'lp_0173']"
11931563,"['lp_0172', 'lp_0173']"
19933364,"['lp_0172', 'lp_0173']"
11274109,"['lp_0172', 'lp_0173']"
7476184,"['lp_0172', 'lp_0173']"
26030923,"['lp_0172', 'lp_0173']"
11065368,"['lp_0172', 'lp_0173']"
16267306,"['lp_0172', 'lp_0173']"
21964732,"['lp_0172', 'lp_0173']"
17056693,"['lp_0172', 'lp_0173']"
19011066,"['lp_0172', 'lp_0173']"
18490461,"['lp_0172', 'lp_0173']"
2670898,"['lp_0172', 'lp_0173']"
14993310,"['lp_0172', 'lp_0173']"
9388231,"['lp_0172', 'lp_0173']"
