sample_id,KEGG pathway id
lp_0159,"['path:lpl00061', 'path:lpl00780', 'path:lpl01040']"
lp_0166,"['path:lpl00051', 'path:lpl00561', 'path:lpl00680']"
lp_0168,path:lpl00561
lp_0169,path:lpl00561
lp_0170,path:lpl00561
lp_0174,"['path:lpl00052', 'path:lpl00500']"
lp_0175,path:lpl02010
lp_0176,path:lpl02010
lp_0177,path:lpl02010
